#305035 - 邪牙の魔蛇龍・ザッハーク
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 305035
approved: False

level: 1
 type: PASSIVE
 | (11643:118) 神半減
 | Reduce damage from God types by 50%
 type: PREEMPT
 | (11644:83) 溢れ出る殺気 + 蛇防壁堅 + 空高く跳躍した
 | Voids status ailments for 999 turns + Void damage >= 50000000 for 999 turns + Absorb damage when combos <= 7 for 1 turn
 group:
 | group:
 | condition: always turn 1
   | condition: when 8 combos last turn
   | (11845:15) 空から落下してきた
   | Deal 100% damage
   | (11844:15) 蛇拳ドライブストライク
   | Deal 180% damage
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 6
     | (11850:83) 憤る咆哮 + 拳を地面にたたきつけた
     | Increase damage to 150% for the next 5 turns + Seal the 5th row for 5 turns
   | group:
   | condition: execute repeatedly, turn 2-6 of 6
     | condition: 25% chance
     | (11846:92) 蛇毒の息吹
     | Spawn 7 random Poison orbs, Deal 90% damage
     | condition: 25% chance
     | (11847:1) 双蛇噛砕
     | Bind 2 random cards for 1~3 turns, Deal 100% damage
     | condition: 25% chance
     | (11848:15) 大剛突進
     | Deal 105% damage
     | condition: 25% chance
     | (11849:15) 拳を振り回す
     | Deal 112% damage (4 hits, 28% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 2 while HP > 9
     | (11853:83) 瘴気を纏った + 辺りに瘴気が立ち込める
     | Do nothing + Poison skyfall +20% for 99 turns
   | group:
     | condition: 25% chance
     | (11856:92) 蛇毒の息吹
     | Spawn 7 random Mortal Poison orbs, Deal 90% damage
     | condition: 25% chance
     | (11857:1) 双蛇噛砕
     | Bind 3 random cards for 2~4 turns, Deal 100% damage
     | condition: 25% chance
     | (11858:92) 大剛突進
     | Spawn 4 random Poison orbs, Deal 105% damage
     | condition: 25% chance
     | (11859:15) 拳を振り回す
     | Deal 115% damage (5 hits, 23% each)
 | group:
 | condition: hp <= 9
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (11860:67) 天高く跳躍した
     | Absorb damage when combos <= 9 for 1 turn
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (11861:15) 双蛇拳ドライブインパクト
     | Deal 500% damage

level: 6
 type: PASSIVE
 | (11643:118) 神半減
 | Reduce damage from God types by 50%
 type: PREEMPT
 | (11840:83) 溢れ出る殺気 + 蛇防壁堅 + 空高く跳躍した
 | Voids status ailments for 999 turns + Void damage >= 50000000 for 999 turns + Absorb damage when combos <= 8 for 1 turn
 group:
 | group:
 | condition: always turn 1
   | condition: when 9 combos last turn
   | (11845:15) 空から落下してきた
   | Deal 100% damage
   | (11844:15) 蛇拳ドライブストライク
   | Deal 180% damage
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 6
     | (11850:83) 憤る咆哮 + 拳を地面にたたきつけた
     | Increase damage to 150% for the next 5 turns + Seal the 5th row for 5 turns
   | group:
   | condition: execute repeatedly, turn 2-6 of 6
     | condition: 25% chance
     | (11846:92) 蛇毒の息吹
     | Spawn 7 random Poison orbs, Deal 90% damage
     | condition: 25% chance
     | (11847:1) 双蛇噛砕
     | Bind 2 random cards for 1~3 turns, Deal 100% damage
     | condition: 25% chance
     | (11848:15) 大剛突進
     | Deal 105% damage
     | condition: 25% chance
     | (11849:15) 拳を振り回す
     | Deal 112% damage (4 hits, 28% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 2 while HP > 9
     | (11853:83) 瘴気を纏った + 辺りに瘴気が立ち込める
     | Do nothing + Poison skyfall +20% for 99 turns
   | group:
     | condition: 25% chance
     | (11856:92) 蛇毒の息吹
     | Spawn 7 random Mortal Poison orbs, Deal 90% damage
     | condition: 25% chance
     | (11857:1) 双蛇噛砕
     | Bind 3 random cards for 2~4 turns, Deal 100% damage
     | condition: 25% chance
     | (11858:92) 大剛突進
     | Spawn 4 random Poison orbs, Deal 105% damage
     | condition: 25% chance
     | (11859:15) 拳を振り回す
     | Deal 115% damage (5 hits, 23% each)
 | group:
 | condition: hp <= 9
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (11860:67) 天高く跳躍した
     | Absorb damage when combos <= 9 for 1 turn
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (11861:15) 双蛇拳ドライブインパクト
     | Deal 500% damage
