#4775 - 柳生九兵衛
monster size: 5
new AI: True
start/max counter: 0
counter increment: 0
monster_id: 4775
approved: False

level: 1
 group:
 | group:
 | condition: execute repeatedly, turn 1 of 4
   | (16911:50) 僕の剣に挑もうというのか！！
   | Player -50% HP
 | group:
 | condition: execute repeatedly, turn 2 of 4
   | (16913:109) 遊びはここからだ
   | Random 3 orbs change every 1.0s for 1 turn, Deal 100% damage
 | group:
 | condition: execute repeatedly, turn 3 of 4
   | (16912:13) 君は僕をバカにしているのか？
   | Change 2 random orb types to Jammer orbs
 | group:
 | condition: execute repeatedly, turn 4 of 4
   | (16914:76) 僕の大切な人に触るな
   | Change the 1st and 6th columns to Dark orbs

level: 4
 type: PREEMPT
 | (16911:50) 僕の剣に挑もうというのか！！
 | Player -50% HP
 group:
 | group:
 | condition: execute repeatedly, turn 1 of 4
   | (16913:109) 遊びはここからだ
   | Random 3 orbs change every 1.0s for 1 turn, Deal 100% damage
 | group:
 | condition: execute repeatedly, turn 2 of 4
   | (16912:13) 君は僕をバカにしているのか？
   | Change 2 random orb types to Jammer orbs
 | group:
 | condition: execute repeatedly, turn 3 of 4
   | (16914:76) 僕の大切な人に触るな
   | Change the 1st and 6th columns to Dark orbs
 | group:
 | condition: execute repeatedly, turn 4 of 4
   | (16911:50) 僕の剣に挑もうというのか！！
   | Player -50% HP
